Name,Category_CodingScheme,Category_CodeValue,Category_CodeMeaning,Type_CodingScheme,Type_CodeValue,Type_CodeMeaning,TypeModifier_CodingScheme,TypeModifier_CodeValue,TypeModifier_CodeMeaning,Region_CodingScheme,Region_CodeValue,Region_CodeMeaning,RegionModifier_CodingScheme,RegionModifier_CodeValue,RegionModifier_CodeMeaning,Color_R,Color_G,Color_B,,
hip_left,SCT,123037004,Anatomical Structure,SCT,29836001,Hip,SCT,7771000,Left,,,,,,,241,214,145,,
hip_right,SCT,123037004,Anatomical Structure,SCT,29836001,Hip,SCT,24028007,Right,,,,,,,241,214,145,,
sacrum,SCT,123037004,Anatomical Structure,SCT,54735007,Sacrum,,,,,,,,,,163,140,140,,
face,SCT,123037004,Anatomical Structure,SCT,89545001,Face,,,,,,,,,,255,182,193,,
gluteus_maximus_left,SCT,123037004,Anatomical Structure,SCT,181674001,Gluteus maximus muscle,SCT,7771000,Left,,,,,,,192,104,88,,
gluteus_maximus_right,SCT,123037004,Anatomical Structure,SCT,181674001,Gluteus maximus muscle,SCT,24028007,Right,,,,,,,192,104,88,,
gluteus_medius_left,SCT,123037004,Anatomical Structure,SCT,78333006,Gluteus medius muscle,SCT,7771000,Left,,,,,,,192,104,88,,
gluteus_medius_right,SCT,123037004,Anatomical Structure,SCT,78333006,Gluteus medius muscle,SCT,24028007,Right,,,,,,,192,104,88,,
gluteus_minimus_left,SCT,123037004,Anatomical Structure,SCT,75297007,Gluteus minius muscle,SCT,7771000,Left,,,,,,,192,104,88,,
gluteus_minimus_right,SCT,123037004,Anatomical Structure,SCT,75297007,Gluteus minius muscle,SCT,24028007,Right,,,,,,,192,104,88,,
autochthon_left,SCT,123037004,Anatomical Structure,SCT,244849004,Deep muscle of back,SCT,7771000,Left,,,,,,,192,104,88,,
autochthon_right,SCT,123037004,Anatomical Structure,SCT,244849004,Deep muscle of back,SCT,24028007,Right,,,,,,,192,104,88,,
iliopsoas_left,SCT,123037004,Anatomical Structure,SCT,68455001,Iliopsoas muscle,SCT,7771000,Left,,,,,,,192,104,88,,
iliopsoas_right,SCT,123037004,Anatomical Structure,SCT,68455001,Iliopsoas muscle,SCT,24028007,Right,,,,,,,192,104,88,,
urinary_bladder,SCT,123037004,Anatomical Structure,SCT,89837001,Urinary bladder,,,,,,,,,,222,154,132,,
thyroid_gland,SCT,123037004,Anatomical Structure,SCT,69748006,Thyroid gland,,,,,,,,,,,,,,
prostate,SCT,123037004,Anatomical Structure,SCT,41216001,Prostate,,,,,,,,,,,,,,
kidney_cyst_left,SCT,49755003,Morphologically Altered Structure,SCT,367643001,Cyst,,,,SCT,64033007,Kidney,SCT,7771000,Left,,,,,
kidney_cyst_right,SCT,49755003,Morphologically Altered Structure,SCT,367643001,Cyst,,,,SCT,64033007,Kidney,SCT,24028007,Right,,,,,
vertebrae_S1,SCT,123037004,Anatomical Structure,SCT,65985001,S1 vertebra,,,,,,,,,,,,,,
heart,SCT,123037004,Anatomical Structure,SCT,80891009,Heart,,,,,,,,,,,,,,
pulmonary_vein,SCT,123037004,Anatomical Structure,SCT,122972007,Pulmonary vein,,,,,,,,,,,,,,
brachiocephalic_trunk,SCT,123037004,Anatomical Structure,SCT,12691009,Brachiocephalic artery,,,,,,,,,,,,,,
subclavian_artery_right,SCT,123037004,Anatomical Structure,SCT,29700009,Subclavian artery,SCT,24028007,Right,,,,,,,,,,,
subclavian_artery_left,SCT,123037004,Anatomical Structure,SCT,29700009,Subclavian artery,SCT,7771000,Left,,,,,,,,,,,
common_carotid_artery_right,SCT,123037004,Anatomical Structure,SCT,32062004,Common carotid artery,SCT,24028007,Right,,,,,,,,,,,
common_carotid_artery_left,SCT,123037004,Anatomical Structure,SCT,32062004,Common carotid artery,SCT,7771000,Left,,,,,,,,,,,
brachiocephalic_vein_left,SCT,123037004,Anatomical Structure,SCT,8887007,Brachiocephalic vein,SCT,7771000,Left,,,,,,,,,,,
brachiocephalic_vein_right,SCT,123037004,Anatomical Structure,SCT,8887007,Brachiocephalic vein,SCT,24028007,Right,,,,,,,,,,,
atrial_appendage_left,SCT,123037004,Anatomical Structure,SCT,68786006,Auricular appendage,SCT,7771000,Left,,,,,,,,,,,
superior_vena_cava,SCT,123037004,Anatomical Structure,SCT,48345005,Superior vena cava,,,,,,,,,,,,,,
spinal_cord,SCT,123037004,Anatomical Structure,SCT,2748008,Spinal cord,,,,,,,,,,,,,,
skull,SCT,123037004,Anatomical Structure,SCT,89546000,Skull,,,,,,,,,,,,,,
sternum,SCT,123037004,Anatomical Structure,SCT,56873002,Sternum,,,,,,,,,,,,,,
costal_cartilages,SCT,123037004,Anatomical Structure,SCT,50016007,Costal cartilage,,,,,,,,,,,,,,
lung_left,SCT,123037004,Anatomical Structure,SCT,39607008,Lung,SCT,7771000,Left,,,,,,,,,,,
lung_right,SCT,123037004,Anatomical Structure,SCT,39607008,Lung,SCT,24028007,Right,,,,,,,,,,,
vertebrae,SCT,123037004,Anatomical Structure,SCT,51282000,Vertebra,,,,,,,,,,,,,,
intervertebral_discs,SCT,123037004,Anatomical Structure,SCT,360499006,Intervertebral disc,,,,,,,,,,,,,,
fibula,SCT,123037004,Anatomical Structure,SCT,87342007,Fibula,,,,,,,,,,,,,,
tibia,SCT,123037004,Anatomical Structure,SCT,12611008,Tibia,,,,,,,,,,,,,,
quadriceps_femoris_left,SCT,123037004,Anatomical Structure,SCT,21989003,Quadriceps femoris muscle,,,,,,,,,,,,,,
quadriceps_femoris_right,SCT,123037004,Anatomical Structure,SCT,21989003,Quadriceps femoris muscle,,,,,,,,,,,,,,
thigh_medial_compartment_left,SCT,123037004,Anatomical Structure,SCT,1179657002,Structure of medial muscle of thigh,SCT,7771000,Left,,,,,,,,,,,
thigh_medial_compartment_right,SCT,123037004,Anatomical Structure,SCT,1179657002,Structure of medial muscle of thigh,SCT,24028007,Right,,,,,,,,,,,
thigh_posterior_compartment_left,SCT,123037004,Anatomical Structure,SCT,128511007,Posterior muscle of thigh structure,SCT,7771000,Left,,,,,,,,,,,
thigh_posterior_compartment_right,SCT,123037004,Anatomical Structure,SCT,128511007,Posterior muscle of thigh structure,SCT,24028007,Right,,,,,,,,,,,
sartorius_left,SCT,123037004,Anatomical Structure,SCT,12595009,Sartorius muscle,SCT,7771000,Left,,,,,,,,,,,
sartorius_right,SCT,123037004,Anatomical Structure,SCT,12595009,Sartorius muscle,SCT,24028007,Right,,,,,,,,,,,
lung_vessels,SCT,123037004,Anatomical Structure,SCT,59820001,Blood vessel,,,,SCT,39607008,Lung,,,,,,,,
lung_trachea_bronchia,SCT,123037004,Anatomical Structure,SCT,110726009,Trachea and bronchus,,,,,,,,,,,,,,
lung_covid_infiltrate,SCT,49755003,Morphologically Altered Structure,SCT,47351003,Infiltrate,SCT,840539006,COVID-19,SCT,39607008,Lung,,,,,,,,
intracerebral_hemorrhage,SCT,49755003,Morphologically Altered Structure,SCT,50960005,Hemorrhage,,,,SCT,12738006,Brain,,,,,,,,
hip_implant,SCT,260787004,Physical object,SCT,40388003,Implant,,,,SCT,24136001,Hip joint,,,,,,,,
coronary_arteries,SCT,123037004,Anatomical Structure,SCT,41801008,Coronary artery,,,,,,,,,,,,,,
body_trunc,SCT,123037004,Anatomical Structure,SCT,22943007,Trunk,,,,,,,,,,,,,,
body_extremities,SCT,123037004,Anatomical Structure,SCT,66019005,Limb,,,,,,,,,,,,,,
pleural_effusion,SCT,49755003,Morphologically Altered Structure,SCT,41699000,Effusion,,,,SCT,91381003,Pleural cavity,,,,,,,,
pericardial_effusion,SCT,49755003,Morphologically Altered Structure,SCT,41699000,Effusion,,,,SCT,25489000,Pericardial cavity,,,,,,,,
liver_vessels,SCT,123037004,Anatomical Structure,SCT,59820001,Blood vessel,,,,SCT,10200004,Liver,,,,,,,,
liver_tumor,SCT,49755003,Morphologically Altered Structure,SCT,108369006,Neoplasm,,,,SCT,10200004,Liver,,,,,,,,
vertebrae_body,SCT,123037004,Anatomical Structure,SCT,3572006,Vertebral body,,,,,,,,,,,,,,
patella,SCT,123037004,Anatomical Structure,SCT,64234005,Patella,,,,,,,,,,,,,,
tarsal,SCT,123037004,Anatomical Structure,SCT,108371006,Tarsal bones,,,,,,,,,,,,,,
metatarsal,SCT,123037004,Anatomical Structure,SCT,53884002,Metatarsal,,,,,,,,,,,,,,
phalanges_feet,SCT,123037004,Anatomical Structure,SCT,28641004,Phalanx structure,,,,,,,,,,,,,,
ulna,SCT,123037004,Anatomical Structure,SCT,23416004,Ulna,,,,,,,,,,,,,,
radius,SCT,123037004,Anatomical Structure,SCT,62413002,Radius,,,,,,,,,,,,,,
carpal,SCT,123037004,Anatomical Structure,SCT,83936004,Carpus,,,,,,,,,,,,,,
metacarpal,SCT,123037004,Anatomical Structure,SCT,36455000,Metacarpal bones,,,,,,,,,,,,,,
phalanges_hand,SCT,123037004,Anatomical Structure,SCT,28641004,Phalanx structure,,,,,,,,,,,,,,
humerus,SCT,123037004,Anatomical Structure,SCT,85050009,Humerus,,,,,,,,,,,,,,
femur,SCT,123037004,Anatomical Structure,SCT,71341001,Femur,,,,,,,,,,,,,,
subcutaneous_fat,SCT,85756007,Tissue,SCT,67769002,Subcutaneous fatty tissue,,,,,,,,,,,,,,
torso_fat,SCT,85756007,Tissue,SCT,55603005,Fat,,,,SCT,22943007,Trunk,,,,,,,,
skeletal_muscle,SCT,123037004,Anatomical Structure,SCT,127954009,Skeletal muscle,,,,,,,,,,,,,,
intermuscular_fat,SCT,123037004,Anatomical Structure,SCT,55603005,Fat,,,,SCT,71616004,Muscle,,,,,,,,
medial_pterygoid_right,SCT,123037004,Anatomical Structure,SCT,85002005,Medial pterygoid muscle,SCT,24028007,Right,,,,,,,,,,,
medial_pterygoid_left,SCT,123037004,Anatomical Structure,SCT,85002005,Medial pterygoid muscle,SCT,7771000,Left,,,,,,,,,,,
lateral_pterygoid_right,SCT,123037004,Anatomical Structure,SCT,88938001,Lateral pterygoid muscle,SCT,24028007,Right,,,,,,,,,,,
lateral_pterygoid_left,SCT,123037004,Anatomical Structure,SCT,88938001,Lateral pterygoid muscle,SCT,7771000,Left,,,,,,,,,,,
masseter_right,SCT,123037004,Anatomical Structure,SCT,79368004,Masseter muscle,SCT,24028007,Right,,,,,,,,,,,
masseter_left,SCT,123037004,Anatomical Structure,SCT,79368004,Masseter muscle,SCT,7771000,Left,,,,,,,,,,,
temporalis_right,SCT,123037004,Anatomical Structure,SCT,52927003,Temporalis muscle,SCT,24028007,Right,,,,,,,,,,,
temporalis_left,SCT,123037004,Anatomical Structure,SCT,52927003,Temporalis muscle,SCT,7771000,Left,,,,,,,,,,,
digastric_right,SCT,123037004,Anatomical Structure,SCT,52410001,Digastric muscle,SCT,24028007,Right,,,,,,,,,,,
digastric_left,SCT,123037004,Anatomical Structure,SCT,52410001,Digastric muscle,SCT,7771000,Left,,,,,,,,,,,
tongue,SCT,123037004,Anatomical Structure,SCT,21974007,Tongue,,,,,,,,,,,,,,
nasal_cavity_right,SCT,123037004,Anatomical Structure,SCT,279549004,Nasal cavity,SCT,24028007,Right,,,,,,,,,,,
nasal_cavity_left,SCT,123037004,Anatomical Structure,SCT,279549004,Nasal cavity,SCT,7771000,Left,,,,,,,,,,,
eye_right,SCT,123037004,Anatomical Structure,SCT,1290032005,Right eye,,,,,,,,,,,,,,
eye_left,SCT,123037004,Anatomical Structure,SCT,1290031003,Left eye,,,,,,,,,,,,,,
eye_lens_right,SCT,123037004,Anatomical Structure,SCT,72345007,Lens of right eye,,,,,,,,,,,,,,
eye_lens_left,SCT,123037004,Anatomical Structure,SCT,88258005,Lens of left eye,,,,,,,,,,,,,,
optic_nerve_right,SCT,123037004,Anatomical Structure,SCT,18234004,Optic nerve,SCT,24028007,Right,,,,,,,,,,,
optic_nerve_left,SCT,123037004,Anatomical Structure,SCT,18234004,Optic nerve,SCT,7771000,Left,,,,,,,,,,,
parotid_gland_right,SCT,123037004,Anatomical Structure,SCT,45289007,Parotid gland,,,,,,,,,,,,,,
parotid_gland_left,SCT,123037004,Anatomical Structure,SCT,45289007,Parotid gland,,,,,,,,,,,,,,
submandibular_gland_right,SCT,123037004,Anatomical Structure,SCT,54019009,Submandibular gland,SCT,24028007,Right,,,,,,,,,,,
submandibular_gland_left,SCT,123037004,Anatomical Structure,SCT,54019009,Submandibular gland,SCT,7771000,Left,,,,,,,,,,,
nasopharynx,SCT,123037004,Anatomical Structure,SCT,360955006,Nasopharynx,,,,,,,,,,,,,,
oropharynx,SCT,123037004,Anatomical Structure,SCT,31389004,Oropharynx,,,,,,,,,,,,,,
hypopharynx,SCT,123037004,Anatomical Structure,SCT,81502006,Hypopharynx,,,,,,,,,,,,,,
auditory_canal_right,SCT,123037004,Anatomical Structure,SCT,45124007,Right external auditory canal,,,,,,,,,,,,,,
auditory_canal_left,SCT,123037004,Anatomical Structure,SCT,71471005,Left external auditory canal,,,,,,,,,,,,,,
hard_palate,SCT,123037004,Anatomical Structure,SCT,90228003,Hard palate,,,,,,,,,,,,,,
soft_palate,SCT,123037004,Anatomical Structure,SCT,49460000,Soft palate,,,,,,,,,,,,,,
sternocleidomastoid_right,SCT,123037004,Anatomical Structure,SCT,22823000,Sternocleidomastoid muscle,SCT,24028007,Right,,,,,,,,,,,
sternocleidomastoid_left,SCT,123037004,Anatomical Structure,SCT,22823000,Sternocleidomastoid muscle,SCT,7771000,Left,,,,,,,,,,,
superior_pharyngeal_constrictor,SCT,123037004,Anatomical Structure,SCT,82182001,Superior pharyngeal constrictor muscle,,,,,,,,,,,,,,
middle_pharyngeal_constrictor,SCT,123037004,Anatomical Structure,SCT,66138004,Middle pharyngeal constrictor muscle,,,,,,,,,,,,,,
inferior_pharyngeal_constrictor,SCT,123037004,Anatomical Structure,SCT,80461005,Inferior pharyngeal constrictor muscle,,,,,,,,,,,,,,
trapezius_right,SCT,123037004,Anatomical Structure,SCT,31764008,Trapezius muscle,SCT,24028007,Right,,,,,,,,,,,
trapezius_left,SCT,123037004,Anatomical Structure,SCT,31764008,Trapezius muscle,SCT,7771000,Left,,,,,,,,,,,
platysma_right,SCT,123037004,Anatomical Structure,SCT,18252004,Platysma muscle,SCT,24028007,Right,,,,,,,,,,,
platysma_left,SCT,123037004,Anatomical Structure,SCT,18252004,Platysma muscle,SCT,7771000,Left,,,,,,,,,,,
