Name,Category_CodingScheme,Category_CodeValue,Category_CodeMeaning,Type_CodingScheme,Type_CodeValue,Type_CodeMeaning,TypeModifier_CodingScheme,TypeModifier_CodeValue,TypeModifier_CodeMeaning,Region_CodingScheme,Region_CodeValue,Region_CodeMeaning,RegionModifier_CodingScheme,RegionModifier_CodeValue,RegionModifier_CodeMeaning,Color_R,Color_G,Color_B,,
ventricle_frontal_horn_right,SCT,123037004,Anatomical Structure,SCT,30399003,Anterior horn of lateral ventricle,SCT,24028007,Right,,,,,,,,,,,
ventricle_frontal_horn_left,SCT,123037004,Anatomical Structure,SCT,30399003,Anterior horn of lateral ventricle,SCT,7771000,Left,,,,,,,,,,,
ventricle_body_right,SCT,123037004,Anatomical Structure,SCT,34803007,Body of lateral ventricle,SCT,24028007,Right,,,,,,,,,,,
ventricle_body_left,SCT,123037004,Anatomical Structure,SCT,34803007,Body of lateral ventricle,SCT,7771000,Left,,,,,,,,,,,
ventricle_temporal_horn_right,SCT,123037004,Anatomical Structure,SCT,53118009,Inferior horn of lateral ventricle,SCT,24028007,Right,,,,,,,,,,,
ventricle_temporal_horn_left,SCT,123037004,Anatomical Structure,SCT,53118009,Inferior horn of lateral ventricle,SCT,7771000,Left,,,,,,,,,,,
ventricle_trigone_right,SCT,123037004,Anatomical Structure,NEU,217,Collateral trigone,SCT,24028007,Right,,,,,,,,,,,
ventricle_trigone_left,SCT,123037004,Anatomical Structure,NEU,217,Collateral trigone,SCT,7771000,Left,,,,,,,,,,,
ventricle_occipital_horn_right,SCT,123037004,Anatomical Structure,SCT,52943005,Posterior horn of lateral ventricle,SCT,24028007,Right,,,,,,,,,,,
ventricle_occipital_horn_left,SCT,123037004,Anatomical Structure,SCT,52943005,Posterior horn of lateral ventricle,SCT,7771000,Left,,,,,,,,,,,
third_ventricle,SCT,123037004,Anatomical Structure,SCT,49841001,Third ventricle,,,,,,,,,,,,,,
fourth_ventricle,SCT,123037004,Anatomical Structure,SCT,35918002,Fourth ventricle,,,,,,,,,,,,,,
brainstem,SCT,123037004,Anatomical Structure,SCT,15926001,Brainstem,,,,,,,,,,,,,,
subarachnoid_space,SCT,123037004,Anatomical Structure,SCT,35951006,Subarachnoid space,,,,,,,,,,,,,,
venous_sinuses,SCT,123037004,Anatomical Structure,SCT,80334009,Venous sinus,,,,,,,,,,,,,,
septum_pellucidum,SCT,123037004,Anatomical Structure,SCT,70146006,Septum pellucidum,,,,,,,,,,,,,,
cerebellum,SCT,123037004,Anatomical Structure,SCT,113305005,Cerebellum,,,,,,,,,,,,,,
caudate_nucleus,SCT,123037004,Anatomical Structure,SCT,11000004,Caudate nucleus,,,,,,,,,,,,,,
lentiform_nucleus,SCT,123037004,Anatomical Structure,SCT,41648007,Lentiform nucleus,,,,,,,,,,,,,,
internal_capsule,SCT,123037004,Anatomical Structure,SCT,85637007,Internal capsule of brain,,,,,,,,,,,,,,
insular_cortex,SCT,123037004,Anatomical Structure,SCT,36169008,Insula,,,,,,,,,,,,,,
ventricle,SCT,123037004,Anatomical Structure,SCT,35764002,Brain ventricle,,,,,,,,,,,,,,
central_sulcus,SCT,123037004,Anatomical Structure,SCT,28294002,Central sulcus,,,,,,,,,,,,,,
frontal_lobe,SCT,123037004,Anatomical Structure,SCT,83251001,Frontal lobe,,,,,,,,,,,,,,
parietal_lobe,SCT,123037004,Anatomical Structure,SCT,16630005,Parietal lobe,,,,,,,,,,,,,,
occipital_lobe,SCT,123037004,Anatomical Structure,SCT,31065004,Occipital lobe,,,,,,,,,,,,,,
temporal_lobe,SCT,123037004,Anatomical Structure,SCT,78277001,Temporal lobe,,,,,,,,,,,,,,
thalamus,SCT,123037004,Anatomical Structure,SCT,119406000,Thalamus,,,,,,,,,,,,,,
left_ventricular_outflow_tract,SCT,123037004,Anatomical Structure,SCT,13418002,Left ventricle outflow tract,,,,,,,,,,,,,,
right_coronary_cusp,SCT,123037004,Anatomical Structure,SCT,45324002,Right cusp of aortic valve,,,,,,,,,,,,,,
left_coronary_cusp,SCT,123037004,Anatomical Structure,SCT,63059004,Left cusp of aortic valve,,,,,,,,,,,,,,
non_coronary_cusp,SCT,123037004,Anatomical Structure,SCT,69374003,Posterior cusp of aortic valve,,,,,,,,,,,,,,
eyeball_right,SCT,123037004,Anatomical Structure,SCT,79652003,Eyeball,SCT,24028007,Right,,,,,,,,,,,
eyeball_left,SCT,123037004,Anatomical Structure,SCT,79652003,Eyeball,SCT,7771000,Left,,,,,,,,,,,
lateral_rectus_muscle_right,SCT,123037004,Anatomical Structure,SCT,31836009,Lateral rectus muscle,SCT,24028007,Right,,,,,,,,,,,
lateral_rectus_muscle_left,SCT,123037004,Anatomical Structure,SCT,31836009,Lateral rectus muscle,SCT,7771000,Left,,,,,,,,,,,
superior_oblique_muscle_right,SCT,123037004,Anatomical Structure,SCT,66041005,Superior oblique muscle,SCT,24028007,Right,,,,,,,,,,,
superior_oblique_muscle_left,SCT,123037004,Anatomical Structure,SCT,66041005,Superior oblique muscle,SCT,7771000,Left,,,,,,,,,,,
levator_palpebrae_superioris_right,SCT,123037004,Anatomical Structure,SCT,58641002,Superior levator palpebrae muscle,SCT,24028007,Right,,,,,,,,,,,
levator_palpebrae_superioris_left,SCT,123037004,Anatomical Structure,SCT,58641002,Superior levator palpebrae muscle,SCT,7771000,Left,,,,,,,,,,,
superior_rectus_muscle_right,SCT,123037004,Anatomical Structure,SCT,5815008,Superior rectus muscle,SCT,24028007,Right,,,,,,,,,,,
superior_rectus_muscle_left,SCT,123037004,Anatomical Structure,SCT,5815008,Superior rectus muscle,SCT,7771000,Left,,,,,,,,,,,
medial_rectus_muscle_right,SCT,123037004,Anatomical Structure,SCT,24937009,Medial rectus muscle,SCT,24028007,Right,,,,,,,,,,,
medial_rectus_muscle_left,SCT,123037004,Anatomical Structure,SCT,24937009,Medial rectus muscle,SCT,7771000,Left,,,,,,,,,,,
inferior_oblique_muscle_right,SCT,123037004,Anatomical Structure,SCT,57516003,Inferior oblique muscle,SCT,24028007,Right,,,,,,,,,,,
inferior_oblique_muscle_left,SCT,123037004,Anatomical Structure,SCT,57516003,Inferior oblique muscle,SCT,7771000,Left,,,,,,,,,,,
inferior_rectus_muscle_right,SCT,123037004,Anatomical Structure,SCT,47869003,Inferior rectus muscle,SCT,24028007,Right,,,,,,,,,,,
inferior_rectus_muscle_left,SCT,123037004,Anatomical Structure,SCT,47869003,Inferior rectus muscle,SCT,7771000,Left,,,,,,,,,,,
deltoid,SCT,123037004,Anatomical Structure,SCT,35259002,Deltoid muscle,,,,,,,,,,,,,,
supraspinatus,SCT,123037004,Anatomical Structure,SCT,6423006,Supraspinatus muscle,,,,,,,,,,,,,,
infraspinatus,SCT,123037004,Anatomical Structure,SCT,72573008,Infraspinatus muscle,,,,,,,,,,,,,,
subscapularis,SCT,123037004,Anatomical Structure,SCT,90588001,Subscapularis muscle,,,,,,,,,,,,,,
coracobrachial,SCT,123037004,Anatomical Structure,SCT,44202005,Coracobrachialis muscle,,,,,,,,,,,,,,
trapezius,SCT,123037004,Anatomical Structure,SCT,31764008,Trapezius muscle,,,,,,,,,,,,,,
pectoralis_minor,SCT,123037004,Anatomical Structure,SCT,18686000,Pectoralis minor muscle,,,,,,,,,,,,,,
serratus_anterior,SCT,123037004,Anatomical Structure,SCT,18346003,Serratus anterior muscle,,,,,,,,,,,,,,
teres_major,SCT,123037004,Anatomical Structure,SCT,1193009,Teres major muscle,,,,,,,,,,,,,,
triceps_brachii,SCT,123037004,Anatomical Structure,SCT,40284004,Triceps brachii muscle,,,,,,,,,,,,,,
larynx_air,SCT,91720002,Body Substance,SCT,15158005,Air,,,,SCT,4596009,Larynx,,,,,,,,
thyroid_cartilage,SCT,123037004,Anatomical Structure,SCT,52940008,Thyroid cartilage,,,,,,,,,,,,,,
hyoid,SCT,123037004,Anatomical Structure,SCT,21387005,Hyoid bone,,,,,,,,,,,,250,210,139
cricoid_cartilage,SCT,123037004,Anatomical Structure,SCT,8600008,Cricoid cartilage,,,,,,,,,,,,,,
zygomatic_arch_right,SCT,123037004,Anatomical Structure,SCT,51204001,Zygomatic arch,SCT,24028007,Right,,,,,,,,,,,
zygomatic_arch_left,SCT,123037004,Anatomical Structure,SCT,51204001,Zygomatic arch,SCT,7771000,Left,,,,,,,,,,,
styloid_process_right,SCT,123037004,Anatomical Structure,SCT,279226000,Styloid process of skull,SCT,24028007,Right,,,,,,,,,,,
styloid_process_left,SCT,123037004,Anatomical Structure,SCT,279226000,Styloid process of skull,SCT,7771000,Left,,,,,,,,,,,
internal_carotid_artery_right,SCT,123037004,Anatomical Structure,SCT,86117002,Internal carotid artery,SCT,24028007,Right,,,,,,,,,,,
internal_carotid_artery_left,SCT,123037004,Anatomical Structure,SCT,86117002,Internal carotid artery,SCT,7771000,Left,,,,,,,,,,,
internal_jugular_vein_right,SCT,123037004,Anatomical Structure,SCT,12123001,Internal jugular vein,SCT,24028007,Right,,,,,,,,,,,
internal_jugular_vein_left,SCT,123037004,Anatomical Structure,SCT,12123001,Internal jugular vein,SCT,7771000,Left,,,,,,,,,,,
liver_segment_1,SCT,123037004,Anatomical Structure,SCT,71133005,Caudate lobe of liver,,,,,,,,,,,,,,
liver_segment_2,SCT,123037004,Anatomical Structure,SCT,277956007,Couinaud hepatic segment II,,,,,,,,,,,,,,
liver_segment_3,SCT,123037004,Anatomical Structure,SCT,277957003,Couinaud hepatic segment III,,,,,,,,,,,,,,
liver_segment_4,SCT,123037004,Anatomical Structure,SCT,277958008,Couinaud hepatic segment IV,,,,,,,,,,,,,,
liver_segment_5,SCT,123037004,Anatomical Structure,SCT,277959000,Couinaud hepatic segment V,,,,,,,,,,,,,,
liver_segment_6,SCT,123037004,Anatomical Structure,SCT,277960005,Couinaud hepatic segment VI,,,,,,,,,,,,,,
liver_segment_7,SCT,123037004,Anatomical Structure,SCT,277961009,Couinaud hepatic segment VII,,,,,,,,,,,,,,
liver_segment_8,SCT,123037004,Anatomical Structure,SCT,277962002,Couinaud hepatic segment VIII,,,,,,,,,,,,,,
lung,SCT,123037004,Anatomical Structure,SCT,39607008,Lung,,,,,,,,,,,,,,
lung_nodules,SCT,123037004,Anatomical Structure,SCT,786838002,Lung nodule,,,,,,,,,,,,,,
breast,SCT,123037004,Anatomical Structure,SCT,76752008,Breast,,,,,,,,,,,,,,
